start	end	text
0	13120	В общем, наша задача, мы делаем техническое задание, разрабатываем на World Paddle Club.
13120	25560	Это будет сеть падл-центров, где нам необходимо создать все условия для комфортного пребывания гостей,
25560	31000	чтобы они наслаждались игрой в теннис, им было комфортно пользоваться мобильным приложением,
31000	40380	и они могли управлять полностью своим личным кабинетом, общаться с администратором,
40380	48020	в общем, любые вопросы, которые возникнут у игроков центра Paddle, чтобы этот E-агент, которого мы разрабатываем,
48020	56960	который так и будет называться, и агент Paddle World Club. Наша задача разработать это техническое задание для этого всего,
56960	66020	и поэтому сейчас в режиме общения будем общаться, и наши мысли, какие будут, о том, что мы думаем, должно в нем быть.
66020	81840	Да. В первую очередь, я думаю, что этот бот должен решать задачи игроков, создавать игры, создавать турниры,
81840	95160	причем заполнять клуб, заполнять время кортов, окна, которые будут свободные, которые обычно бывают свободные,
95160	105000	создавая игры. Почему это важно? Это важно потому, что люди, люди, ухоженные мешки, они ленятся, ленятся и стесняются,
105000	112200	из-за этого, особенно начинающие, они не могут создать себе игру. Я как тренер это вижу очень часто,
112200	120220	то есть они ленятся даже просто посмотреть, какие есть там свободные места, поэтому задача этого бота
120220	129420	будет каждый день находить на следующий день свободные места, выкидывать их в группу или еще куда-то.
129420	133860	Предлагать лотис, в окна, в лоты. Слоты, да, предлагать.
133860	141060	И тут же, когда люди соглашаются играть, тут же организовывать им игру.
141060	148860	Почему это важно? В отличие от тенниса, падал теннис, там играют 4 человека, и 4 человека сложно собрать.
148860	154260	Кто-то может в это время, кто-то не может в это время. Это нужно проделать кучу работы, обзвонить всех.
154260	167460	Плюс еще рейтинг, очень важный рейтинг. То есть для игроков важно играть с такими же по мастерству игроками,
167460	172660	потому что неинтересно играть, когда ты играешь против игрока, который слабее.
172660	179860	Для этого в нашем боте должны быть у всех рейтинг по каким-то определенным критериям.
179860	184860	Это можно сделать. И чтобы бот собирал игру именно по этому рейтингу.
184860	185860	Да.
185860	188860	По именно этому рейтингу находил постоянно игроков.
188860	191860	Выглядит, для меня это визуально выглядит примерно так.
191860	197860	Он выкидывает, допустим, если на следующий день у нас есть на одном корте 3 свободных времени,
